|   |   |   |   | # |   |   |   | # |   |   |   | # |   |   |   | # |   |   |   |
|   | * | # |   | # |   | # |   | # |   | # |   | # |   | # |   | # |   | # |   |
|   | # | # |   |   |   | # |   |   |   | # |   |   |   | # |   |   |   | # |   |
|   | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # |   |
|   | # | # | # | # | # | # |   |   |   | # | # |   | # |   |   |   |   |   |   |
|   | # | # | # | # | # | # |   | # | # | # | # |   | # |   |   |   |   | # |   |
|   | # | # | # | # | # | # |   | # |   |   |   |   | # |   |   |   |   | # |   |
|   | # | # | # | # | # | # |   | # | # | # | # | # | # |   |   |   |   | # |   |
|   | # | # | # | # | # | # |   | # |   |   |   |   |   |   |   |   |   |   |   |
|   | # |   |   |   |   |   |   | # |   | # | # | # | # | # | # | # | # | # |   |
|   | # |   |   |   |   |   |   |   |   | # |   |   |   |   |   |   |   | # |   |
|   | # | # |   | # | # |   | # | # |   | # |   |   |   |   |   |   |   | # |   |
|   | # | # |   | # |   |   |   |   |   | # |   |   |   |   |   |   |   | # |   |
|   | # | # |   |   | # | # | # | # |   | # |   |   |   |   |   |   |   | # |   |
|   | # |   |   | O | # |   |   |   |   | # | # | # | # | # | # | # | # | # |   |
|   | # | # | # |   |   |   |   |   |   | # |   |   |   |   |   |   |   |   |   |
|   | # |   |   | # | # | # | # | # |   | # |   | # | # | # | # | # | # | # | # |
|   | # |   |   | # |   |   |   |   |   | # |   |   |   |   |   |   |   |   |   |
|   | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # | # |   |
|   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
